Metric,Original,Sampled,Difference
Number of nodes,30,24,6
Number of edges,50,25,25
Average node degree,3.333333333,2.083333333,1.25
Average clustering coefficient,0,0,0
Average path length,Graph is not connected,Graph is not connected,0.4
Average betweenness centrality,0.068226601,0.087121212,0.018894611
Average closeness centrality,0.34915509,0.26794449,0.0812106
Average degree centrality,0.114942529,0.09057971,0.024362819
Average eigenvector centrality,0.16725611,0.159566602,0.007689507
Density,0.114942529,0.09057971,0.024362819
